,State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,Respiratory Diseases ,Respiratory disease Dummy
234634,21,19,17,"FIVCO HEALTH DEPARTMENT, 2924 HOLT STREET",Kentucky,Boyd,Ashland,30-Apr-02,Parts per billion,9.956522,28,0,26,Parts per million,0.0405,0.06,10,51,Parts per billion,2.291667,11,23,16,Parts per million,0.058333,0.1,0,1,0,No
246174,34,7,3,COPEWOOD E. DAVIS STS; TRAILER,New Jersey,Camden,Camden,08-Dec-02,Parts per billion,24.25,54,10,51,Parts per million,0.064208,0.112,12,192,Parts per billion,16.083333,49,10,67,Parts per million,0.279167,0.4,8,5,0,No
26876,6,75,5,10 ARKANSAS ST.,California,San Francisco,San Francisco,23-Jan-00,Parts per billion,15.73913,24,17,23,Parts per million,0.012833,0.021,3,18,Parts per billion,2,2,0,3,Parts per million,0.582609,0.8,17,,0,No
141322,20,107,2,COUNTY RD 1103 .7 MI SOUTH OF K-52,Kansas,Linn,Not in a city,26-Aug-01,Parts per billion,2.708333,13,16,12,Parts per million,0.024333,0.047,9,40,Parts per billion,1,6,16,9,Parts per million,0.129167,0.2,0,2,0,No
169134,42,71,7,ABRAHAM LINCOLN JR HIGH GROFFTOWN RD,Pennsylvania,Lancaster,Lancaster,07-Apr-01,Parts per billion,6.291667,12,5,11,Parts per million,0.032417,0.053,11,45,Parts per billion,0,0,2,,Parts per million,0.9,0.9,0,10,0,No
145114,21,67,12,"FAYETTE COUNTY HEALTH DEPT, 650 NEWTOWN PIKE",Kentucky,Fayette,Lexington-Fayette (corporate name for Lexington),28-Apr-01,Parts per billion,3.173913,14,0,13,Parts per million,0.039167,0.045,9,38,Parts per billion,2.725,7,5,,Parts per million,0.020833,0.1,0,1,0,No
84779,48,141,58,5050A Yvette Drive,Texas,El Paso,El Paso,19-Aug-00,Parts per billion,11.291667,34,23,32,Parts per million,0.040042,0.069,10,80,Parts per billion,0,0,0,0,Parts per million,0.379167,0.5,0,6,0,No
191558,6,13,1004,"1865 D RUMRILL BLVD, San Pablo",California,Contra Costa,San Pablo,12-Oct-02,Parts per billion,23.478261,36,8,34,Parts per million,0.013042,0.029,11,25,Parts per billion,1.181818,2,9,3,Parts per million,0.691667,1.1,0,13,0,No
91278,51,510,9,"517 N SAINT ASAPH ST, ALEXANDRIA HEALTH",Virginia,Alexandria City,Alexandria,31-Jul-00,Parts per billion,8.958333,12,6,11,Parts per million,0.017833,0.028,10,24,Parts per billion,2.833333,11,13,16,Parts per million,0,0,0,,0,No
166459,42,17,12,ROCKVIEW LANE,Pennsylvania,Bucks,Bristol,05-May-01,Parts per billion,20.833333,47,5,44,Parts per million,0.029125,0.049,7,42,Parts per billion,8.625,26,0,37,Parts per million,0.191667,0.7,6,,0,No
